"","date","phyto_group","TChla_mean","abundance","chem_rel","micro_rel"
"1",2018-01-09,"cyan",0.000380238896468654,0,0.00114008474825993,0
"2",2018-01-09,"hapto",0.011712330703934,0,0.0351175267079296,0
"3",2018-01-09,"green",0.0740452992419402,0,0.222012837534725,0
"4",2018-01-09,"cryp",0.081555463373661,61250,0.244530848351142,0.820715529947742
"5",2018-01-09,"dino",0.0100027889323731,40,0.0299917425801858,0.000535977488945464
"6",2018-01-09,"raph",0.00371950088689725,0,0.0111523210057507,0
"7",2018-01-09,"dict",0.00768236598620812,840,0.0230343301875976,0.0112555272678548
"8",2018-01-09,"diat",0.144420109689236,12500,0.433020308884409,0.167492965295458
"9",2018-01-31,"cyan",0.00231238726216058,0,0.00651964272149318,0
"10",2018-01-31,"hapto",0.00974616346259912,0,0.0274787466274343,0
"11",2018-01-31,"green",0.0686660800129175,35000,0.193600058301393,0.151751647589317
"12",2018-01-31,"cryp",0.0855659035344919,183750,0.241248137505048,0.796696149843913
"13",2018-01-31,"dino",0.0138417243336638,80,0.0390259446510562,0.000346860908775581
"14",2018-01-31,"raph",0.00695700547657907,0,0.0196148763059642,0
"15",2018-01-31,"dict",0,240,0,0.00104058272632674
"16",2018-01-31,"diat",0.167590794463952,11570,0.472512593887611,0.0501647589316684
"17",2018-02-13,"cyan",0.011901947359244,0,0.0267980938922315,0
"18",2018-02-13,"hapto",0.0155904313238959,0,0.0351029818757898,0
"19",2018-02-13,"green",0.102597242842118,2500,0.231005100575557,0.0128402670775552
"20",2018-02-13,"cryp",0.0975427863498529,187500,0.219624626812268,0.963020030816641
"21",2018-02-13,"dino",7.06432001607027e-06,40,1.5905826614868e-05,0.000205444273240883
"22",2018-02-13,"raph",0.0107466323922078,0,0.0241968188212498,0
"23",2018-02-13,"dict",0.00617163915497561,2540,0.0138958911976328,0.0130457113507961
"24",2018-02-13,"diat",0.199576358000437,2120,0.449360580998656,0.0108885464817668
"25",2018-02-27,"cyan",0.00715254169578354,0,0.0146618190802824,0
"26",2018-02-27,"hapto",0.022422500886023,0,0.0459633323790539,0
"27",2018-02-27,"green",0.0840162200232347,8750,0.17222278040211,0.0650591480597503
"28",2018-02-27,"cryp",0.0714592548708121,96250,0.146482566769974,0.715650628657253
"29",2018-02-27,"dino",0.0179993960385521,680,0.0368965186777136,0.00505602522064345
"30",2018-02-27,"raph",0.00663302305232113,0,0.0135968706069627,0
"31",2018-02-27,"dict",0.0125150601379573,960,0.0256543135749568,0.00713791795855546
"32",2018-02-27,"diat",0.265636538465818,27853,0.544521798508947,0.207096280103797
"33",2018-03-06,"cyan",0.00469585531391203,0,0.00579838181531629,0
"34",2018-03-06,"hapto",0.0522627544899782,0,0.0645333778396533,0
"35",2018-03-06,"green",0.0435427998503049,28000,0.0537660898733335,0.147259913747765
"36",2018-03-06,"cryp",0.0697039514780045,147000,0.0860695438184281,0.773114547175765
"37",2018-03-06,"dino",2.56389897306993e-05,280,3.16586951427424e-05,0.00147259913747765
"38",2018-03-06,"raph",0.0164667619392276,0,0.0203329460988048,0
"39",2018-03-06,"dict",0.011237320334961,8960,0.0138756987869883,0.0471231723992847
"40",2018-03-06,"diat",0.611921091874441,5900,0.755592303072333,0.0310297675397076
"41",2018-03-13,"cyan",0.0110918181017041,0,0.0158838578371828,0
"42",2018-03-13,"hapto",0.136898382256428,39375,0.196043103300381,0.146804964710883
"43",2018-03-13,"green",0.0770565904676914,74375,0.110347637978194,0.277298266676112
"44",2018-03-13,"cryp",0.123140054444472,140000,0.176340713571424,0.521973207860916
"45",2018-03-13,"dino",4.81236808506461e-05,2440,6.89147350077966e-05,0.00909724733700455
"46",2018-03-13,"raph",0.0255868205179771,0,0.0366411904600761,0
"47",2018-03-13,"dict",0.0106514915823936,9343,0.0152532954018329,0.0348342548646039
"48",2018-03-13,"diat",0.313834284742673,2680,0.4494212867159,0.0099920585504804
"49",2018-03-20,"cyan",0.00732351055679222,0,0.00102984625008945,0
"50",2018-03-20,"hapto",0.0283713185538848,928025,0.00398962980885075,0.410135102287944
"51",2018-03-20,"green",0.0309939992924531,0,0.0043584362580053,0
"52",2018-03-20,"cryp",0.375203832983971,22112,0.0527618902739696,0.00977226624475744
"53",2018-03-20,"dino",0.0796909742057323,4776,0.011206299262535,0.00211072465561512
"54",2018-03-20,"raph",0.428308804829915,0,0.0602296143514517,0
"55",2018-03-20,"dict",0.0719159829119841,15909,0.0101129649160831,0.00703088746779333
"56",2018-03-20,"diat",6.08945751190186,1291908,0.856311318879015,0.57095101934389
"57",2018-03-27,"cyan",0.000677186205090644,0,0.000156160522421158,0
"58",2018-03-27,"hapto",0,0,0,0
"59",2018-03-27,"green",0.0519626891861359,3500,0.0119827022888469,0.0172982163067814
"60",2018-03-27,"cryp",0.0663149282336235,3500,0.0152923579355815,0.0172982163067814
"61",2018-03-27,"dino",0.138273480037848,1998,0.0318861469967653,0.00987481033741406
"62",2018-03-27,"raph",0.371727526187897,0,0.0857211269979377,0
"63",2018-03-27,"dict",0,8750,0,0.0432455407669535
"64",2018-03-27,"diat",3.70751921335856,184585,0.854961505258448,0.91228321628207
"65",2018-04-12,"cyan",0.00513327992909278,0,0.000763379346771056,0
"66",2018-04-12,"hapto",0.00313906760857208,21000,0.000466816424119197,0.0187299322154834
"67",2018-04-12,"green",0.0382051835767925,0,0.00568156198083563,0
"68",2018-04-12,"cryp",0.16110491938889,0,0.0239582040768289,0
"69",2018-04-12,"dino",0.236230657241928,3000,0.0351302884907177,0.00267570460221192
"70",2018-04-12,"raph",0.453612392147382,0,0.0674575196342203,0
"71",2018-04-12,"dict",0.168432091168749,600,0.0250478410505087,0.000535140920442383
"72",2018-04-12,"diat",5.65855793158213,1096600,0.841494388995998,0.978059222261862
"73",2018-04-17,"cyan",0.00813734143351515,0,0.00787029624171695,0
"74",2018-04-17,"hapto",0.00492013820136587,0,0.00475867278168397,0
"75",2018-04-17,"green",0.0071374176380535,0,0.00690318719833672,0
"76",2018-04-17,"cryp",0.0244193940112988,3000,0.0236180165822426,0.0449626809747909
"77",2018-04-17,"dino",0.0351203139871359,3240,0.0339677617609162,0.0485596954527742
"78",2018-04-17,"raph",0.0441116460909446,0,0.0426640230451212,0
"79",2018-04-17,"dict",0.00904366405059894,3770,0.00874687584026236,0.0565031024249873
"80",2018-04-17,"diat",0.901040852069855,56712,0.87147116654972,0.849974521147448
"81",2018-04-24,"cyan",0.0486044138669968,0,0.00863062900658134,0
